Family name,Title,Personal name,Fate,Age,Department/Class,Passenger/Crew,Citizenship,Adult/Minor,Sex,age_was_imputed
CAMERON,Mr.,Charles W.,lost,38.0,Band,Crew,British,Adult,male,False
CARR-JONES,Mr.,E.,lost,37.0,Band,Crew,British,Adult,male,False
DRAKEFORD,Mr.,Edward,saved,30.0,Band,Crew,British,Adult,male,False
HAWKINS,Mr.,Handel,saved,25.0,Band,Crew,British,Adult,male,False
HEMINGWAY,Mr.,John William,saved,27.0,Band,Crew,British,Adult,male,False
ANDERSON,Mr.,James Clarke,lost,48.0,Deck,Crew,British,Adult,male,False
ANDERSON,Mr.,John,lost,32.0,Deck,Crew,Norwegian,Adult,male,False
BATTLE,Mr.,James,saved,32.0,Deck,Crew,British,Adult,male,False
BESTIC,Mr.,Albert Arthur,saved,24.0,Deck,Crew,British,Adult,male,False
BOWDEN,Mr.,Joseph ,saved,19.0,Deck,Crew,British,Adult,male,False
BROWN,Mr.,John Manson George,lost,57.0,Deck,Crew,British,Adult,male,False
CANNON,Mr.,Robert Henry,lost,50.0,Deck,Crew,British,Adult,male,False
CLINTON,Mr.,George,saved,32.0,Deck,Crew,British,Adult,male,False
CLYDE,Mr.,Neil,saved,32.0,Deck,Crew,British,Adult,male,False
CRANK,Mr.,John,lost,32.0,Deck,Crew,British,Adult,male,False
CUNNINGHAM,Mr.,Edward,saved,32.0,Deck,Crew,British,Adult,male,False
DAVIES,Mr.,John,saved,32.0,Deck,Crew,British,Adult,male,False
EGAN,Mr.,William,saved,32.0,Deck,Crew,British,Adult,male,False
ELLIOT,Mr.,Arthur Graham,lost,32.0,Deck,Crew,British,Adult,male,False
ELLIOT,Mr.,Fred,saved,32.0,Deck,Crew,British,Adult,male,False
EVANS,Mr.,Thomas William,lost,32.0,Deck,Crew,British,Adult,male,False
FAYLE,Mr.,Edward,saved,32.0,Deck,Crew,British,Adult,male,False
FLEMMING,Mr.,Herbert,lost,32.0,Deck,Crew,British,Adult,male,False
GARRY,Dr.,Joseph,lost,25.0,Deck,Crew,British,Adult,male,False
GUNN,Mr.,C.,saved,32.0,Deck,Crew,British,Adult,male,False
HARMAN,Mr.,John,saved,56.0,Deck,Crew,British,Adult,male,False
HEFFORD,Mr.,Percy,lost,32.0,Deck,Crew,British,Adult,male,False
HEIGHWAY,Mr.,Edward John,saved,41.0,Deck,Crew,British,Adult,male,False
HENNESEY,Mr.,Frank,saved,32.0,Deck,Crew,British,Adult,male,False
HERMAN,Mr.,Albert,lost,32.0,Deck,Crew,British,Adult,male,False
HEYES,Mr.,J.,saved,32.0,Deck,Crew,British,Adult,male,False
HUGHES,Mr.,John Edward,lost,32.0,Deck,Crew,British,Adult,male,False
HUME,Mr.,James,saved,19.0,Deck,Crew,British,Adult,male,False
JOHNSTON,Mr.,Hugh Robert,saved,32.0,Deck,Crew,British,Adult,male,False
JONES,Mr.,Arthur Rowland,saved,33.0,Deck,Crew,British,Adult,male,False
JONES,Mr.,William,lost,32.0,Deck,Crew,British,Adult,male,False
KNIGHT,Mr.,C. T.,saved,32.0,Deck,Crew,British,Adult,male,False
LEDENE,Mr.,Thomas,lost,50.0,Deck,Crew,British,Adult,male,False
LEWIS,Mr.,John Idwal,saved,29.0,Deck,Crew,British,Adult,male,False
LOCKETT,Mr.,H.,saved,32.0,Deck,Crew,British,Adult,male,False
MALONE,Mr.,F.,lost,32.0,Deck,Crew,British,Adult,male,False
McDERMOTT,Dr.,James Farrell,lost,38.0,Deck,Crew,British,Adult,male,False
McGLADE,Mr.,George,lost,32.0,Deck,Crew,British,Adult,male,False
McLEOD,Mr.,Victor,lost,32.0,Deck,Crew,British,Adult,male,False
McNALLY,Mr.,Peter,lost,32.0,Deck,Crew,British,Adult,male,False
MOORE,Mr.,Daniel,saved,32.0,Deck,Crew,British,Adult,male,False
MORTON,Mr.,Leslie Noel (brother of John),saved,18.0,Deck,Crew,British,Adult,male,False
MORTON,Mr.,John Clifford (brother of Leslie),saved,20.0,Deck,Crew,British,Adult,male,False
O'MAHONEY,Mr.,Thomas,saved,21.0,Deck,Crew,British,Adult,male,False
O'NEILL,Mr.,F. H.,saved,32.0,Deck,Crew,British,Adult,male,False
OWENS,Mr.,Owen,lost,32.0,Deck,Crew,British,Adult,male,False
PARRY,Mr.,Joseph,saved,26.0,Deck,Crew,British,Adult,male,False
PIPER,Mr.,John P.,lost,32.0,Deck,Crew,British,Adult,male,False
QUINN,Mr.,"Thomas John (father of Thomas Quinn, bo'sun's boy)",saved,32.0,Deck,Crew,British,Adult,male,False
QUINN,Master,"Thomas (son of Thomas Quinn, AB seaman)",lost,17.0,Deck,Crew,British,Minor,male,False
QUIRK,Mr.,William Eduard,lost,33.0,Deck,Crew,British,Adult,male,False
REID,Mr.,James,lost,32.0,Deck,Crew,British,Adult,male,False
ROBB,Mr.,Joseph,lost,27.0,Deck,Crew,British,Adult,male,False
ROBERTS,Mr.,Charles A.,saved,25.0,Deck,Crew,British,Adult,male,False
ROBERTSON,Mr.,Neil,saved,32.0,Deck,Crew,British,Adult,male,False
ROBINS,Mr.,T. (Edward Kyle),lost,32.0,Deck,Crew,British,Adult,male,False
ROPER,Mr.,John,saved,32.0,Deck,Crew,British,Adult,male,False
SEAGRAVES,Mr.,Patrick,lost,32.0,Deck,Crew,British,Adult,male,False
SIKKING,Mr.,James,saved,24.0,Deck,Crew,British,Adult,male,False
SIKKING,Mr.,Florence,saved,32.0,Deck,Crew,British,Adult,male,False
SMITH,Mr.,Peter,lost,32.0,Deck,Crew,British,Adult,male,False
STEVENS,Mr.,John,lost,32.0,Deck,Crew,British,Adult,male,False
THOMPSON,Mr.,John,lost,32.0,Deck,Crew,British,Adult,male,False
THOMPSON,Mr.,Leo Henry,saved,32.0,Deck,Crew,British,Adult,male,False
TODD,Mr.,James,saved,32.0,Deck,Crew,British,Adult,male,False
TURNER,Captain,William Thomas,saved,58.0,Deck,Crew,British,Adult,male,False
WILLIAMS,Mr.,William,saved,32.0,Deck,Crew,British,Adult,male,False
YETTS,Mr.,William R.,lost,32.0,Deck,Crew,British,Adult,male,False
ANDERSON,Mr.,William Affleck,lost,32.0,Engineering,Crew,British,Adult,male,False
ASHE,Mr.,John,lost,32.0,Engineering,Crew,British,Adult,male,False
BARRETT,Mr.,Daniel,lost,18.0,Engineering,Crew,British,Adult,male,False
BARRY,Mr.,W.,lost,26.0,Engineering,Crew,British,Adult,male,False
BATT,Mr.,George,saved,32.0,Engineering,Crew,British,Adult,male,False
BEATTIE,Mr.,James,lost,32.0,Engineering,Crew,British,Adult,male,False
BEGGS,Mr.,John,lost,32.0,Engineering,Crew,British,Adult,male,False
BOWEN,Mr.,Henry,lost,32.0,Engineering,Crew,British,Adult,male,False
BRADLEY,Mr.,Thomas,lost,32.0,Engineering,Crew,British,Adult,male,False
BREEN,Mr.,James,lost,32.0,Engineering,Crew,British,Adult,male,False
BRENNAN,Mr.,Patrick,lost,47.0,Engineering,Crew,British,Adult,male,False
BRENNAN,Mr.,John,saved,32.0,Engineering,Crew,British,Adult,male,False
BRENNAN,Mr.,Thomas,saved,32.0,Engineering,Crew,British,Adult,male,False
BRIDGE,Mr.,William,saved,32.0,Engineering,Crew,British,Adult,male,False
BROWN,Mr.,Patrick,lost,24.0,Engineering,Crew,British,Adult,male,False
BROWN,Mr., John,saved,32.0,Engineering,Crew,British,Adult,male,False
BROWN,Mr.,James,lost,32.0,Engineering,Crew,British,Adult,male,False
BRYCE,Mr.,Archie,lost,54.0,Engineering,Crew,British,Adult,male,False
BURKE,Mr.,James,lost,32.0,Engineering,Crew,British,Adult,male,False
BURNS,Mr.,John James,lost,32.0,Engineering,Crew,British,Adult,male,False
BURNS,Mr.,Joseph,saved,32.0,Engineering,Crew,British,Adult,male,False
BURNS,Mr.,Peter,lost,32.0,Engineering,Crew,British,Adult,male,False
BUTLER,Mr.,Joseph,lost,32.0,Engineering,Crew,British,Adult,male,False
CAIN,Mr.,Thomas,lost,54.0,Engineering,Crew,British,Adult,male,False
CAMPBELL,Mr.,Patrick,lost,35.0,Engineering,Crew,British,Adult,male,False
CAMPBELL,Mr.,Charles,lost,32.0,Engineering,Crew,British,Adult,male,False
CARRIBINE,Mr.,Bernard,saved,43.0,Engineering,Crew,British,Adult,male,False
CARROLL,Mr.,Thomas,saved,32.0,Engineering,Crew,British,Adult,male,False
CASEY,Mr.,Patrick,lost,48.0,Engineering,Crew,British,Adult,male,False
CASEY,Mr.,James,lost,32.0,Engineering,Crew,British,Adult,male,False
CASEY,Mr.,Joseph,saved,32.0,Engineering,Crew,British,Adult,male,False
CASSIDY,Mr.,Bernard,lost,59.0,Engineering,Crew,British,Adult,male,False
CHADWICK,Mr.,Jacob,saved,32.0,Engineering,Crew,British,Adult,male,False
CHESTER,Mr.,Michael,lost,32.0,Engineering,Crew,British,Adult,male,False
COADY,Mr., James,lost,53.0,Engineering,Crew,British,Adult,male,False
COCKBURN,Mr.,Andrew,saved,44.0,Engineering,Crew,British,Adult,male,False
COLE,Mr.,William Henry,lost,32.0,Engineering,Crew,British,Adult,male,False
COLLINS,Mr.,Patrick,lost,35.0,Engineering,Crew,British,Adult,male,False
COLLINS,Mr.,James Lord,lost,32.0,Engineering,Crew,British,Adult,male,False
COLWELL,Mr.,William J.,saved,32.0,Engineering,Crew,British,Adult,male,False
CONLON,Mr.,Bernard,saved,32.0,Engineering,Crew,British,Adult,male,False
CONNELLY,Mr.,Owen,lost,51.0,Engineering,Crew,British,Adult,male,False
COONEY,Mr.,"Michael, Jr.",lost,20.0,Engineering,Crew,British,Adult,male,False
COONEY,Mr.,"Michael, Sr.",lost,40.0,Engineering,Crew,British,Adult,male,False
CORBOY,Mr.,Michael,lost,49.0,Engineering,Crew,British,Adult,male,False
COSTELLO,Mr.,Thomas,lost,32.0,Engineering,Crew,British,Adult,male,False
COYNE (Coyle),Mr.,Patrick,lost,24.0,Engineering,Crew,British,Adult,male,False
CROSS,Mr.,Andrew,saved,32.0,Engineering,Crew,British,Adult,male,False
CRUMBY,Mr.,Stephen,saved,32.0,Engineering,Crew,British,Adult,male,False
CULSHAW,Mr.,William,saved,32.0,Engineering,Crew,British,Adult,male,False
CURRAN,Mr.,Patrick,lost,44.0,Engineering,Crew,British,Adult,male,False
CUSHION,Mr.,Michael,saved,32.0,Engineering,Crew,British,Adult,male,False
DALEY,Mr.,Daniel,lost,42.0,Engineering,Crew,British,Adult,male,False
DALYRMPLE,Mr.,James,saved,32.0,Engineering,Crew,British,Adult,male,False
DAVIES,Mr.,John,lost,32.0,Engineering,Crew,British,Adult,male,False
DAVIES,Mr.,Mr. J.,saved,32.0,Engineering,Crew,British,Adult,male,False
DAVIS,Mr.,Frederick,saved,32.0,Engineering,Crew,British,Adult,male,False
DELVIN,Mr.,Henry,lost,32.0,Engineering,Crew,British,Adult,male,False
DONNELLY,Mr.,John,lost,32.0,Engineering,Crew,British,Adult,male,False
DONNELLY,Mr.,Peter,saved,32.0,Engineering,Crew,British,Adult,male,False
DONOGHUE,Mr.,Peter,lost,32.0,Engineering,Crew,British,Adult,male,False
DONOVAN,Mr.,William,saved,32.0,Engineering,Crew,British,Adult,male,False
DOUGHERTY (Pitchford),Mr.,William,lost,32.0,Engineering,Crew,British,Adult,male,False
DOWNEY,Mr.,Edward,saved,32.0,Engineering,Crew,British,Adult,male,False
DOYLE,Mr.,Peter,lost,32.0,Engineering,Crew,British,Adult,male,False
DOYLE,Mr.,John,lost,35.0,Engineering,Crew,British,Adult,male,False
DOYLE,Mr.,Joseph,saved,32.0,Engineering,Crew,British,Adult,male,False
DUCKWORTH,Mr.,Thomas,lost,32.0,Engineering,Crew,British,Adult,male,False
DUGGAN,Mr.,John,lost,31.0,Engineering,Crew,British,Adult,male,False
DUNCAN,Mr.,Peter Robinson,lost,31.0,Engineering,Crew,British,Adult,male,False
DUNCAN,Mr.,Robert Henry,saved,34.0,Engineering,Crew,British,Adult,male,False
DUNCAN,Mr.,Alexander,saved,32.0,Engineering,Crew,British,Adult,male,False
DUNN,Mr.,Albert Charles,saved,30.0,Engineering,Crew,British,Adult,male,False
DUNN,Mr.,Thomas,lost,32.0,Engineering,Crew,British,Adult,male,False
DWYER,Mr.,James,saved,20.0,Engineering,Crew,British,Adult,male,False
DWYER,Mr.,John,saved,32.0,Engineering,Crew,British,Adult,male,False
DYER,Mr.,John ,lost,32.0,Engineering,Crew,British,Adult,male,False
EDWARDS,Mr.,Thomas,saved,32.0,Engineering,Crew,British,Adult,male,False
ELLIOTT,Mr.,James,lost,32.0,Engineering,Crew,British,Adult,male,False
ENGLISH,Mr.,Michael,saved,32.0,Engineering,Crew,British,Adult,male,False
ENNIS,Mr.,John,lost,32.0,Engineering,Crew,British,Adult,male,False
EVANS,Mr.,David,saved,32.0,Engineering,Crew,British,Adult,male,False
EVANS,Mr.,Robert,saved,32.0,Engineering,Crew,British,Adult,male,False
FAIRELOUGH,Mr.,Robert,saved,32.0,Engineering,Crew,British,Adult,male,False
FAIRHURST,Mr.,Wilfred George,lost,32.0,Engineering,Crew,British,Adult,male,False
FARRELL,Mr.,John,saved,32.0,Engineering,Crew,British,Adult,male,False
FEARON,Mr.,Peter,lost,30.0,Engineering,Crew,British,Adult,male,False
FENTON,Mr.,Colin Stanley Moorhouse,lost,32.0,Engineering,Crew,British,Adult,male,False
FERNANDEZ,Mr.,Eduardo,saved,32.0,Engineering,Crew,British,Adult,male,False
FIELDS,Mr.,William,lost,32.0,Engineering,Crew,British,Adult,male,False
FINNEGAN,Mr.,Edward,lost,22.0,Engineering,Crew,British,Adult,male,False
FitzGERALD,Mr.,John,saved,32.0,Engineering,Crew,British,Adult,male,False
FORD,Mr.,John,lost,45.0,Engineering,Crew,British,Adult,male,False
FORREST,Mr.,John,saved,32.0,Engineering,Crew,British,Adult,male,False
FRENCH,Mr.,Edward Stanley,lost,32.0,Engineering,Crew,British,Adult,male,False
GALLAGHER,Mr.,George,lost,32.0,Engineering,Crew,British,Adult,male,False
GARDNER,Mr.,Alfred,lost,32.0,Engineering,Crew,British,Adult,male,False
GAUL,Mr.,Richard,lost,32.0,Engineering,Crew,British,Adult,male,False
GAVAN,Mr.,Peter,lost,30.0,Engineering,Crew,British,Adult,male,False
GOODMAN,Mr.,B.,saved,32.0,Engineering,Crew,British,Adult,male,False
GOULD,Mr.,Richard,lost,34.0,Engineering,Crew,British,Adult,male,False
GRANT,Mr.,Michael,lost,36.0,Engineering,Crew,British,Adult,male,False
GREGORY,Mr.,John Henry,lost,32.0,Engineering,Crew,British,Adult,male,False
GRIFFITHS,Mr., William Henry,lost,32.0,Engineering,Crew,British,Adult,male,False
GRIFFITHS,Mr.,Samuel Herman,lost,32.0,Engineering,Crew,British,Adult,male,False
GRUNDY,Mr.,Mr. George,saved,32.0,Engineering,Crew,British,Adult,male,False
GUNTHER,Mr.,Charles,saved,32.0,Engineering,Crew,British,Adult,male,False
HAMEL,Mr.,George James,lost,32.0,Engineering,Crew,British,Adult,male,False
HANLON,Mr.,Patrick,lost,32.0,Engineering,Crew,British,Adult,male,False
HARRIS,Mr.,Edward James,lost,32.0,Engineering,Crew,British,Adult,male,False
HAYES,Mr.,John Henry Lamie,lost,30.0,Engineering,Crew,British,Adult,male,False
HESTON,Mr.,Patrick,lost,32.0,Engineering,Crew,British,Adult,male,False
HETHERINGTON,Mr.,Walter Lewis,lost,32.0,Engineering,Crew,British,Adult,male,False
